start_time,end_time,state
0.0,0.060096153846153855,S1
0.08012820512820513,0.08012820512820513,systole
0.10016025641025642,0.16025641025641027,S2
0.18028846153846156,0.28044871794871795,S1
0.3004807692307693,0.3004807692307693,systole
0.32051282051282054,0.3806089743589744,S2
0.40064102564102566,0.4607371794871795,diastole
0.48076923076923084,0.5809294871794872,S1
0.6009615384615385,0.6610576923076924,S2
0.6810897435897436,0.7211538461538463,diastole
0.7411858974358975,0.841346153846154,S1
0.8613782051282052,0.8814102564102565,systole
0.9014423076923078,0.9615384615384617,S2
0.9815705128205129,1.0817307692307694,S1
1.1017628205128207,1.1618589743589745,S2
1.1818910256410258,1.1818910256410258,diastole
1.201923076923077,1.2820512820512822,S1
1.3020833333333335,1.3621794871794872,S2
1.3822115384615385,1.4222756410256412,diastole
1.4423076923076925,1.542467948717949,S1
1.5625000000000002,1.622596153846154,S2
1.6426282051282053,12.5,diastole
