start_time,end_time,state
0.0,4.98798076923077,S1
5.008012820512821,5.008012820512821,systole
5.028044871794872,5.0681089743589745,S2
5.088141025641026,5.188301282051283,S1
5.208333333333334,5.30849358974359,systole
5.328525641025641,5.388621794871796,S2
5.408653846153847,5.689102564102565,diastole
5.709134615384616,5.789262820512821,S1
5.809294871794872,5.869391025641026,S2
5.8894230769230775,5.909455128205129,diastole
5.92948717948718,6.029647435897436,S1
6.049679487179488,7.772435897435898,systole
7.79246794871795,7.852564102564103,S2
7.872596153846154,7.932692307692308,diastole
7.9527243589743595,8.032852564102566,S1
8.052884615384617,8.11298076923077,S2
8.133012820512821,8.193108974358974,diastole
8.213141025641026,8.313301282051283,S1
8.333333333333334,8.533653846153847,systole
8.553685897435898,8.613782051282053,S2
8.633814102564104,12.5,diastole
