start_time,end_time,state
0.0,0.16025641025641027,S1
0.18028846153846156,0.20032051282051283,systole
0.22035256410256412,0.28044871794871795,S2
0.3004807692307693,0.4607371794871795,diastole
0.48076923076923084,0.5809294871794872,S1
0.6009615384615385,0.6209935897435898,systole
0.6410256410256411,0.7011217948717949,S2
0.7211538461538463,1.1818910256410258,diastole
1.201923076923077,1.3020833333333335,S1
1.3221153846153848,1.5224358974358976,systole
1.542467948717949,1.6025641025641026,S2
1.622596153846154,1.622596153846154,diastole
1.6426282051282053,1.7427884615384617,S1
1.762820512820513,2.2435897435897436,systole
2.263621794871795,2.323717948717949,S2
2.34375,2.544070512820513,diastole
2.5641025641025643,2.6642628205128207,S1
2.684294871794872,2.744391025641026,S2
2.764423076923077,3.2051282051282053,diastole
3.225160256410257,3.325320512820513,S1
3.3453525641025643,3.405448717948718,systole
3.4254807692307696,3.4855769230769234,S2
3.5056089743589745,3.5056089743589745,diastole
3.525641025641026,3.6258012820512824,S1
3.6458333333333335,3.7059294871794877,systole
3.7259615384615388,3.7860576923076925,S2
3.806089743589744,3.966346153846154,diastole
3.9863782051282053,4.086538461538462,S1
4.106570512820513,4.306891025641026,systole
4.3269230769230775,4.387019230769231,S2
4.407051282051283,4.427083333333334,diastole
4.447115384615385,4.547275641025641,S1
4.5673076923076925,12.5,systole
