start_time,end_time,state
0.0,0.18028846153846156,S1
0.20032051282051283,0.32051282051282054,systole
0.3405448717948718,0.40064102564102566,S2
0.420673076923077,0.5809294871794872,diastole
0.6009615384615385,0.7011217948717949,S1
0.7211538461538463,0.841346153846154,systole
0.8613782051282052,0.921474358974359,S2
0.9415064102564104,1.0817307692307694,diastole
1.1017628205128207,1.201923076923077,S1
1.2219551282051284,1.3621794871794872,systole
1.3822115384615385,1.4423076923076925,S2
1.4623397435897436,1.6025641025641026,diastole
1.622596153846154,1.7227564102564104,S1
1.7427884615384617,1.8830128205128207,systole
1.903044871794872,1.9631410256410258,S2
1.983173076923077,2.123397435897436,diastole
2.1434294871794872,2.2435897435897436,S1
2.263621794871795,2.403846153846154,systole
2.4238782051282053,2.483974358974359,S2
2.5040064102564106,2.6442307692307696,diastole
2.6642628205128207,2.764423076923077,S1
2.7844551282051286,2.904647435897436,systole
2.9246794871794872,2.9847756410256414,S2
3.0048076923076925,3.1450320512820515,diastole
3.1650641025641026,3.265224358974359,S1
3.2852564102564106,3.4254807692307696,systole
3.4455128205128207,3.5056089743589745,S2
3.525641025641026,3.665865384615385,diastole
3.685897435897436,3.7860576923076925,S1
3.806089743589744,3.9262820512820515,systole
3.946314102564103,4.006410256410256,S2
4.026442307692308,4.166666666666667,diastole
4.186698717948718,4.2868589743589745,S1
4.306891025641026,4.427083333333334,systole
4.447115384615385,4.507211538461539,S2
4.52724358974359,4.667467948717949,diastole
4.6875,4.787660256410256,S1
4.807692307692308,4.927884615384616,systole
4.947916666666667,5.008012820512821,S2
5.028044871794872,5.168269230769231,diastole
5.188301282051283,5.288461538461539,S1
5.30849358974359,5.428685897435898,systole
5.448717948717949,5.508814102564103,S2
5.528846153846154,5.669070512820514,diastole
5.689102564102565,5.789262820512821,S1
5.809294871794872,5.92948717948718,systole
5.949519230769231,6.009615384615385,S2
6.029647435897436,6.1498397435897445,diastole
6.169871794871796,6.270032051282052,S1
6.290064102564103,6.430288461538462,systole
6.450320512820514,6.510416666666667,S2
6.530448717948718,6.6706730769230775,diastole
6.690705128205129,6.790865384615385,S1
6.810897435897436,6.9310897435897445,systole
6.951121794871796,7.011217948717949,S2
7.031250000000001,7.1714743589743595,diastole
7.191506410256411,7.291666666666667,S1
7.311698717948719,7.4519230769230775,systole
7.471955128205129,7.532051282051283,S2
7.552083333333334,7.692307692307693,diastole
7.7123397435897445,7.812500000000001,S1
7.832532051282052,7.9527243589743595,systole
7.972756410256411,8.032852564102566,S2
8.052884615384617,8.193108974358974,diastole
8.213141025641026,8.313301282051283,S1
8.333333333333334,12.5,systole
