start_time,end_time,state
0.0,0.16025641025641027,S1
0.18028846153846156,0.36057692307692313,systole
0.3806089743589744,0.44070512820512825,S2
0.4607371794871795,0.6410256410256411,diastole
0.6610576923076924,0.7612179487179488,S1
0.7812500000000001,0.9415064102564104,systole
0.9615384615384617,1.0216346153846154,S2
1.0416666666666667,1.2219551282051284,diastole
1.2419871794871795,1.342147435897436,S1
1.3621794871794872,1.542467948717949,systole
1.5625000000000002,1.622596153846154,S2
1.6426282051282053,1.9230769230769234,diastole
1.9431089743589745,2.043269230769231,S1
2.0633012820512824,2.2435897435897436,systole
2.263621794871795,2.323717948717949,S2
2.34375,2.5641025641025643,diastole
2.5841346153846154,2.684294871794872,S1
2.7043269230769234,2.884615384615385,systole
2.904647435897436,2.96474358974359,S2
2.9847756410256414,3.185096153846154,diastole
3.2051282051282053,3.3052884615384617,S1
3.325320512820513,3.4855769230769234,systole
3.5056089743589745,3.5657051282051286,S2
3.5857371794871797,12.5,diastole
