start_time,end_time,state
0.0,0.12019230769230771,S1
0.14022435897435898,0.3004807692307693,systole
0.32051282051282054,0.3806089743589744,S2
0.40064102564102566,0.5208333333333334,diastole
0.5408653846153847,0.6410256410256411,S1
0.6610576923076924,0.6810897435897436,systole
0.7011217948717949,0.7612179487179488,S2
0.7812500000000001,0.8012820512820513,diastole
0.8213141025641026,0.921474358974359,S1
0.9415064102564104,1.061698717948718,systole
1.0817307692307694,1.1418269230769231,S2
1.1618589743589745,12.5,diastole
